field_label,pretty_name,field_key,field_type,field_selection,field_limit,field_lovs,form,ddh_machine_name,microdata_library,geo_catalog,open_data_catalog,to_check,comment
Description,description,body,text,,,,Basic,body,,Description,Description,,
Contact Email,contact_email,contactEmail,lookup,,255,PeopleSoft,Basic,field_contact_email,,,Contact Details,,
Harvest Source,harvest_source,harvest_source,list,,,Finances,Basic,field_ddh_harvest_src,,,,,field_key is made up for processing purposes. (Could not leave it empty) Check with tech team the real name.
Harvest Source,harvest_source,harvest_source,list,,,EnergyData.info,Basic,field_ddh_harvest_src,,,,,field_key is made up for processing purposes. (Could not leave it empty) Check with tech team the real name.
Harvest Source,harvest_source,harvest_source,list,,,Microdata,Basic,field_ddh_harvest_src,,,,,field_key is made up for processing purposes. (Could not leave it empty) Check with tech team the real name.
Harvest Source ID,harvest_source_id,harvest_source_id,text,,,,Basic,field_ddh_harvest_sys_id,,,,,
Exception,exception,exception,,,,1. Personal Information of Bank Staff,Basic,field_exception_s_,,,,,
Exception,exception,exception,,,,10a-c. Financial Information - Forecast/Analysis/Transactions,Basic,field_exception_s_,,,,,
Exception,exception,exception,,,,10d. Financial Information - Banking & Billing,Basic,field_exception_s_,,,,,
Exception,exception,exception,,,,2. Communications of Governors/Executive Directors,Basic,field_exception_s_,,,,,
Exception,exception,exception,,,,3. Ethics Committee,Basic,field_exception_s_,,,,,
Exception,exception,exception,,,,4. Attorney/Client Privilege,Basic,field_exception_s_,,,,,
Exception,exception,exception,,,,5. Security & Safety,Basic,field_exception_s_,,,,,
Exception,exception,exception,,,,6. Restricted Under Separate Bank Disclosure Regime(s),Basic,field_exception_s_,,,,,
Exception,exception,exception,,,,7. Member Countries/Third Party Confidence,Basic,field_exception_s_,,,,,
Exception,exception,exception,,,,8. Corporate/Administrative Matters,Basic,field_exception_s_,,,,,
Exception,exception,exception,,,,9. Deliberative Information,Basic,field_exception_s_,,,,,
Granularity,granularity,granularity,list,multiselect,,Business or firm,Time series,field_granularity_list,,,Granularity,,
Granularity,granularity,granularity,list,multiselect,,City or metropolitan,Time series,field_granularity_list,,,Granularity,,
Granularity,granularity,granularity,list,multiselect,,Household,Time series,field_granularity_list,,,Granularity,,
Granularity,granularity,granularity,list,multiselect,,National,Time series,field_granularity_list,,,Granularity,,
Granularity,granularity,granularity,list,multiselect,,Other,Time series,field_granularity_list,,,Granularity,,
Granularity,granularity,granularity,list,multiselect,,Project,Time series,field_granularity_list,,,Granularity,,
Granularity,granularity,granularity,list,multiselect,,Regional,Time series,field_granularity_list,,,Granularity,,
Granularity,granularity,granularity,list,multiselect,,Subnational,Time series,field_granularity_list,,,Granularity,,
Granularity,granularity,granularity,list,multiselect,,Granularity not specified,Time series,field_granularity_list,,,Granularity,,
License,license,license,text,,255,CC0,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Creative Commons Attribution 4.0,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Creative Commons Attribution-No Derivatives 4.0,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Creative Commons Attribution-Non Commercial 4.0,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Creative Commons Attribution-Non Commercial-No Derivatives 4.0,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Creative Commons Attribution-Non Commercial-Share Alike 4.0,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Creative Commons Attribution-Share Alike 4.0,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Custom License,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Data not available,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Esri Enterprise License Agreement,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,License not applicable (AMS 6.21A),Basic,field_license_wbddh,,,,,
License,license,license,text,,255,License specified externally,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Open Database License,Basic,field_license_wbddh,,,,,
License,license,license,text,,255,Research Data License,Basic,field_license_wbddh,,,,,
Resource type,resource_type,fileurlResourceType,list,,,API,Basic,field_resources,,,,,
Coverage,coverage,temporalCoverage,date,,,,Time series,field_temporal_coverage,,,Coverage,,
Topics,topics,topic,lookup,multiselect,,Agriculture and Food Security,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Climate Change,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Economic Growth,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Education,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Energy and Extractives,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Environment and Natural Resources,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Financial Sector Development,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,"Fragility, Conflict and Violence",Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Gender,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,"Health, Nutrition and Population",Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Information and Communication Technologies,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Jobs,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Macroeconomic and Structural Policies,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Macroeconomic Vulnerability and Debt,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Poverty,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Private Sector Development,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Public-Private Partnerships,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Public Sector Management,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Social Development,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Social Protection and Labor,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Trade,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Transport,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Urban Development,Basic,field_topic,,Topics,Topics,,
Topics,topics,topic,lookup,multiselect,,Water,Basic,field_topic,,Topics,Topics,,
,topics,topic,lookup,multiselect,,Topic not specified,Basic,field_topic,,Topics,Topics,,
Abstract,abstract,abstract,text,,,,Microdata,field_wbddh_abstract,Abstract,,,,
Access Authority Affiliation,access_authority_name_affiliation_email,accessAuthAff,text,,,,Microdata,field_wbddh_access_authority,Access Authority Affiliation,,,check,
Acronym,acronym,acronym,text,,25,,Basic,field_wbddh_acronym,,,Acronym,,
Access Authority Name,access_authority_name,accessAuthName,text,,,,Microdata,field_wbddh_authority_name,"Access Authority Name, Emai",,,check,
Bands,bands,bands,text,,80,,Geospatial,field_wbddh_bands,,Bands,,,
Bit Depth,bit_depth,bitDepth,text,,80,,Geospatial,field_wbddh_bit_depth,,,,,
Metadata Character Set,metadata_character_set,metadataCharSet,text,,,,Microdata,field_wbddh_charset,Metadata Character Set,,,,
Citation Text,citation_text,citationText,text,,,,Microdata,field_wbddh_citation_text,Citation Requirements (?),,,,
Citation Text,citation_text,citationText,text,,2000,,Time series,field_wbddh_citation_text,,,Cite,,
Citation Text,citation_text,citationText,text,,,,Geospatial,field_wbddh_citation_text_geo,,,,,
Collaborator Name (s) UPI,collaborator_name_s_upi,collabUPI,lookup,,255,PeopleSoft,Basic,field_wbddh_collaborator_upi,,,,,
Collections,collections,collectionsWB,,,,"DataFirst, University of Cape Town, South Africa",Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,Devleopment Research Microdata,Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,Enterprise Surveys,Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,Global Financial Inclusion (Global Findex) Database,Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,"Global Health Data Exchange (GHDx), Institute for Health Metrics and Evaluation (IHME)",Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,Impact Evaluation Surveys,Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,Integrated Public Use Microdata Series (IPUMS) International,Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,Living Standards Measurement Sutdy (LSMS),Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,Measure DHS: Demographic and Health Surveys,Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,Migration and Remittances Surveys,Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,Milennium Challenge Corporation (MCC),Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,Service Delivery Facility Surveys,Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,The STEP Skills Measurement Program,Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,The World Bank Group Country Opinon Survey Program (COS),Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,UNICEF Mulitple Indicator Cluster Surveys (MICS),Basic,field_wbddh_collections,Collections,,,,
Collections,collections,collectionsWB,,,,WHO's Multi-Country Studies Programmes,Basic,field_wbddh_collections,Collections,,,,
Copyright,copyright,copyright,text,,255,,Basic,field_wbddh_copyright,,,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Afghanistan,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Albania,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Algeria,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,American Samoa,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Andorra,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Angola,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Antigua and Barbuda,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Argentina,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Armenia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Aruba,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Australia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Austria,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Azerbaijan,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Bahamas, The",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Bahrain,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Bangladesh,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Barbados,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Belarus,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Belgium,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Belize,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Benin,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Bermuda,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Bhutan,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Bolivia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Bosnia and Herzegovina,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Botswana,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Brazil,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,British Virgin Islands,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Brunei Darussalam,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Bulgaria,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Burkina Faso,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Burundi,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Cabo Verde,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Cambodia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Cameroon,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Canada,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Cayman Islands,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Central African Republic,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Chad,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Channel Islands,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Chile,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,China,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Colombia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Comoros,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Congo, Dem. Rep.",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Congo, Rep.",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Costa Rica,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Niue,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Cook Islands,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,St. Barthélemy,Basic,field_wbddh_country,"Geographic Coverage, Country",,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Anguilla,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Côte d'Ivoire,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Croatia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Cuba,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Curaçao,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Cyprus,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Czech Republic,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Denmark,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Djibouti,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Dominica,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Dominican Republic,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,East Asia & Pacific,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Ecuador,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Egypt, Arab Rep.",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,El Salvador,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Equatorial Guinea,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Eritrea,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Estonia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Ethiopia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Europe & Central Asia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Faroe Islands,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Fiji,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Finland,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,France,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,French Polynesia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Gabon,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Gambia, The",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Georgia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Germany,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Ghana,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Gibraltar,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Greece,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Greenland,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Grenada,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Guam,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Guatemala,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Guinea,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Guinea-Bissau,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Guyana,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Haiti,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Honduras,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Hong Kong SAR, China",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Hungary,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Iceland,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,India,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Indonesia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Iran, Islamic Rep.",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Iraq,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Ireland,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Isle of Man,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Israel,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Italy,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Jamaica,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Japan,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Jordan,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Kazakhstan,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Kenya,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Kiribati,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Korea, Dem. People's Rep.",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Korea, Rep.",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Kosovo,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Kuwait,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Kyrgyz Republic,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Lao PDR,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Latin America & Caribbean,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Latvia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Lebanon,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Lesotho,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Liberia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Libya,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Liechtenstein,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Lithuania,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Luxembourg,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Macao SAR, China",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,"Macedonia, FYR",Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Madagascar,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Malawi,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Malaysia,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Maldives,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Mali,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Malta,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Marshall Islands,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Martinique,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
Country,geographical_coverage,geographicalCoverage,lookup,multiselect,,Mauritania,Basic,field_wbddh_country,"Geographic Coverage, Country",Location,,,
